track,kernel,block,grid,registers_per_thread,registers_per_thread_allocated,dynamic_shared_memory_bytes,allocated_shared_memory_bytes,occupancy_limit_blocks,occupancy_limit_registers,occupancy_limit_shared_mem,occupancy_limit_warps,gpu_time_ns,dram_throughput_pct,sm_max_warps_active_cycle_pct
base,recurrence_state_variant_0,192,"1,96,1",73,80,98432,99456,32,4,2,10,1290848,10.83,18.75
base,recurrence_state_variant_1,192,"1,96,1",66,72,98432,99456,32,4,2,10,1292288,10.78,18.75
base,recurrence_state_variant_2,192,"1,96,1",74,80,98432,99456,32,4,2,10,1249344,11.23,18.75
vsplit,recurrence_state_variant_0,128,"1,192,1",78,80,68608,69632,32,6,3,16,881472,15.89,18.75
vsplit,recurrence_state_variant_1,128,"1,192,1",78,80,68608,69632,32,6,3,16,884256,15.76,18.75
vsplit,recurrence_state_variant_2,128,"1,192,1",82,88,68608,69632,32,5,3,16,899776,15.64,18.75
