variant,job,block_size,grid_size,registers_per_thread,dynamic_smem_bytes,tensor_pipe_inst,tma_pipe_inst,tmem_pipe_inst,global_sass_store_inst,ncu_kernel_time_ns,barrier_stall_pct,long_scoreboard_stall_pct,wait_stall_pct
full,24354,128,192,78,68608,39936,19968,0,0,10688,20.30,26.32,9.00
state_only,24353,128,192,60,68608,26112,18240,0,0,10016,29.62,29.47,7.20
